PARAM	PAIRS	METHOD	TP	FP	FN	TN
CC06	100R0_120R0	cluster	1906	1561	881	102344
CC06	100R0_120R0	subcluster	2303	1397	484	102508
CC06	100R0_120R0	mash90	2300	1369	487	102536
CC06	100R0_120R0	mash95	2481	1332	306	102573
CC06	100R0_120R0	genome	2724	795	63	103110
CC06	100R12_120R12	cluster	1887	1779	900	102126
CC06	100R12_120R12	subcluster	2263	1733	524	102172
CC06	100R12_120R12	mash90	2259	1759	528	102146
CC06	100R12_120R12	mash95	2367	1663	420	102242
CC06	100R12_120R12	genome	2709	1076	78	102829
CC06	100R15_120R15	cluster	1778	1967	1009	101938
CC06	100R15_120R15	subcluster	2216	1903	571	102002
CC06	100R15_120R15	mash90	2230	1902	557	102003
CC06	100R15_120R15	mash95	2455	1896	332	102009
CC06	100R15_120R15	genome	2716	1099	71	102806
CC06	100R3_120R3	cluster	1722	1400	1065	102505
CC06	100R3_120R3	subcluster	2144	1405	643	102500
CC06	100R3_120R3	mash90	2155	1388	632	102517
CC06	100R3_120R3	mash95	2476	1293	311	102612
CC06	100R3_120R3	genome	2724	836	63	103069
CC06	100R6_120R6	cluster	2068	1395	719	102510
CC06	100R6_120R6	subcluster	2354	1469	433	102436
CC06	100R6_120R6	mash90	2362	1409	425	102496
CC06	100R6_120R6	mash95	2502	1426	285	102479
CC06	100R6_120R6	genome	2720	864	67	103041
CC06	100R9_120R9	cluster	1867	1766	920	102139
CC06	100R9_120R9	subcluster	2190	1667	597	102238
CC06	100R9_120R9	mash90	2264	1678	523	102227
CC06	100R9_120R9	mash95	2349	1706	438	102199
CC06	100R9_120R9	genome	2716	931	71	102974
CC06	30R0_100R0_120R0	cluster	1832	1256	955	102649
CC06	30R0_100R0_120R0	subcluster	2316	1340	471	102565
CC06	30R0_100R0_120R0	mash90	2259	1324	528	102581
CC06	30R0_100R0_120R0	mash95	2494	1275	293	102630
CC06	30R0_100R0_120R0	genome	2724	727	63	103178
CC06	30R0_100R0	cluster	1980	1691	807	102214
CC06	30R0_100R0	subcluster	2310	1591	477	102314
CC06	30R0_100R0	mash90	2305	1561	482	102344
CC06	30R0_100R0	mash95	2562	1499	225	102406
CC06	30R0_100R0	genome	2719	835	68	103070
CC06	30R0_120R0	cluster	2008	1434	779	102471
CC06	30R0_120R0	subcluster	2347	1348	440	102557
CC06	30R0_120R0	mash90	2347	1360	440	102545
CC06	30R0_120R0	mash95	2537	1357	250	102548
CC06	30R0_120R0	genome	2727	771	60	103134
CC06	30R0_40R0	cluster	1801	1674	986	102231
CC06	30R0_40R0	subcluster	2178	1714	609	102191
CC06	30R0_40R0	mash90	2287	1686	500	102219
CC06	30R0_40R0	mash95	2400	1424	387	102481
CC06	30R0_40R0	genome	2716	837	71	103068
CC06	30R0_50R0_100R0	cluster	1858	1615	929	102290
CC06	30R0_50R0_100R0	subcluster	2294	1548	493	102357
CC06	30R0_50R0_100R0	mash90	2361	1568	426	102337
CC06	30R0_50R0_100R0	mash95	2592	1544	195	102361
CC06	30R0_50R0_100R0	genome	2721	865	66	103040
CC06	30R0_50R0_120R0	cluster	1854	1481	933	102424
CC06	30R0_50R0_120R0	subcluster	2327	1475	460	102430
CC06	30R0_50R0_120R0	mash90	2300	1444	487	102461
CC06	30R0_50R0_120R0	mash95	2536	1400	251	102505
CC06	30R0_50R0_120R0	genome	2724	846	63	103059
CC06	30R0_50R0_70R0	cluster	1715	1752	1072	102153
CC06	30R0_50R0_70R0	subcluster	2281	1799	506	102106
CC06	30R0_50R0_70R0	mash90	2311	1782	476	102123
CC06	30R0_50R0_70R0	mash95	2550	1608	237	102297
CC06	30R0_50R0_70R0	genome	2713	960	74	102945
CC06	30R0_50R0_80R0	cluster	1822	1594	965	102311
CC06	30R0_50R0_80R0	subcluster	2306	1689	481	102216
CC06	30R0_50R0_80R0	mash90	2303	1685	484	102220
CC06	30R0_50R0_80R0	mash95	2546	1641	241	102264
CC06	30R0_50R0_80R0	genome	2711	908	76	102997
CC06	30R0_50R0_90R0	cluster	1678	1704	1109	102201
CC06	30R0_50R0_90R0	subcluster	2128	1665	659	102240
CC06	30R0_50R0_90R0	mash90	2174	1682	613	102223
CC06	30R0_50R0_90R0	mash95	2577	1454	210	102451
CC06	30R0_50R0_90R0	genome	2716	917	71	102988
CC06	30R0_50R0	cluster	1821	1982	966	101923
CC06	30R0_50R0	subcluster	2358	1921	429	101984
CC06	30R0_50R0	mash90	2448	1943	339	101962
CC06	30R0_50R0	mash95	2588	1791	199	102114
CC06	30R0_50R0	genome	2716	956	71	102949
