NAME	CLUSTER	SUBCLUSTER	mash_k16s400c90	mash_k16s400c95
20ES	ClusterA	SubclusterA2	cluster_175	cluster_2
244	ClusterE	SubclusterE	cluster_1	cluster_1
32HC	ClusterZ	SubclusterZ	cluster_228	cluster_306
39HC	ClusterB	SubclusterB6	cluster_0	cluster_0
40AC	ClusterA	SubclusterA17	cluster_263	cluster_307
40BC	ClusterB	SubclusterB6	cluster_0	cluster_0
A3Wally	ClusterGD	SubclusterGD	cluster_209	cluster_247
Aaronocolus	ClusterBD	SubclusterBD1	cluster_43	cluster_41
Abba	ClusterAO	SubclusterAO3	cluster_264	cluster_308
AbbeyMikolon	ClusterBL	SubclusterBL	cluster_200	cluster_233
AbbyPaige	ClusterA	SubclusterA2	cluster_175	cluster_9
Abbyshoes	ClusterA	SubclusterA1	cluster_3	cluster_5
AbbysRanger	ClusterA	SubclusterA4	cluster_4	cluster_7
ABCat	ClusterE	SubclusterE	cluster_1	cluster_1
Abdiel	ClusterA	SubclusterA4	cluster_4	cluster_7
Abidatro	ClusterAS	SubclusterAS1	cluster_129	cluster_138
Abigail	ClusterEB	SubclusterEB	cluster_13	cluster_13
Abinghost	ClusterB	SubclusterB3	cluster_11	cluster_12
Abrogate	ClusterA	SubclusterA1	cluster_3	cluster_5
AbsoluteMadLad	ClusterB	SubclusterB1	cluster_5	cluster_6
Abt2graduatex2	ClusterBG	SubclusterBG	cluster_34	cluster_309
ABU	ClusterB	SubclusterB1	cluster_5	cluster_6
Acadian	ClusterB	SubclusterB5	cluster_39	cluster_109
ACFishhook	ClusterA	SubclusterA3	cluster_8	cluster_10
Achebe	ClusterA	SubclusterA4	cluster_4	cluster_7
Acme	ClusterA	SubclusterA1	cluster_3	cluster_5
Acolyte	ClusterA	SubclusterA2	cluster_265	cluster_310
Acquire49	ClusterL	SubclusterL1	cluster_23	cluster_22
ActinUp	ClusterK	SubclusterK1	cluster_6	cluster_108
Adahisdi	ClusterA	SubclusterA1	cluster_3	cluster_5
Adaia	ClusterAX	SubclusterAX	cluster_266	cluster_311
Adawi	ClusterB	SubclusterB4	cluster_41	cluster_312
Adelaide	ClusterEP	SubclusterEP	cluster_65	cluster_62
Adephagia	ClusterK	SubclusterK1	cluster_6	cluster_108
Adgers	ClusterCS	SubclusterCS2	cluster_44	cluster_42
Ading	ClusterC	SubclusterC1	cluster_7	cluster_8
Adjutor	ClusterD	SubclusterD1	cluster_54	cluster_48
Adler	ClusterSingleton	SubclusterSingleton	cluster_267	cluster_313
Adlitam	ClusterC	SubclusterC1	cluster_7	cluster_8
Adnama	ClusterE	SubclusterE	cluster_1	cluster_1
Adolin	ClusterAZ	SubclusterAZ	cluster_107	cluster_113
Adonis	ClusterK	SubclusterK1	cluster_6	cluster_108
Adora	ClusterCZ	SubclusterCZ4	cluster_47	cluster_161
Adriana	ClusterB	SubclusterB1	cluster_5	cluster_6
