GENOME	LOC	LABEL	N	DIR	RBS1	RBS2	MOTIF	A0	A1	LF50R3	HK50R3	LF100R3	HK100R3	PRED	METHOD
HQ871931	2292	1	327	1	0	0.0	9	0.0104	0.01709	-0.33704	-0.21774	-0.31667	-0.27157	0	Atkins
HQ871931	2286	1	333	1	12	3.2	9	0.01857	0.02675	-0.4	-0.2464	-0.29423	-0.24448	0	Atkins
HQ871931	1902	1	717	1	0	0.0	9	0.01374	0.01486	-0.33043	-0.22	-0.32963	-0.21	0	Atkins
HQ871931	1809	1	810	1	0	0.0	9	0.0104	0.02043	-0.45172	-0.29621	-0.44237	-0.251	0	Atkins
HQ871931	1701	0	918	1	0	0.0	9	0.0156	0.02452	-0.308	-0.20076	-0.35962	-0.25615	0	Atkins
HQ871931	1611	0	1008	1	0	0.0	8	0.01412	0.01597	-0.59655	-0.45414	-0.67018	-0.46982	0	Atkins
JN662424	4476	1	21	1	13	3.1	8	0.01013	0.02392	-0.51538	-0.35869	-0.55098	-0.35647	0	Atkins
JN662424	4134	1	363	1	0	0.0	9	0.01923	0.02128	-0.30357	-0.30318	-0.55769	-0.41288	0	Atkins
JN662424	4029	1	468	1	0	0.0	8	0.0091	0.01791	-0.50833	-0.29542	-0.48667	-0.3444	0	Atkins
JN662424	4014	1	483	1	0	0.0	8	0.01556	0.02172	-0.368	-0.3524	-0.53778	-0.36869	0	Atkins
JN662424	7796	0	6	-1	22	6.2	1	0.01659	0.02084	-0.72813	-0.50216	-0.59273	-0.50016	-1	Atkins
JN662424	12280	0	120	-1	0	0.0	5	0.01497	0.0138	-0.644	-0.4316	-0.55741	-0.37509	0	Atkins
JN662424	12187	0	213	-1	0	0.0	2	0.0229	0.02172	-0.35652	-0.27739	-0.67436	-0.46028	0	Atkins
JN662424	12184	0	216	-1	0	0.0	7	0.02892	0.02319	-0.40909	-0.30591	-0.67179	-0.44436	0	Atkins
JN662424	13381	0	180	-1	0	0.0	1	0.02833	0.01482	-0.7	-0.4156	-0.57551	-0.3302	0	Atkins
JN662424	13378	0	183	-1	0	0.0	4	0.01336	0.02275	-0.708	-0.4464	-0.59167	-0.34646	0	Atkins
JN662424	13357	0	204	-1	0	0.0	1	0.02686	0.02172	-0.35217	-0.24957	-0.70213	-0.43681	0	Atkins
JN662424	13896	0	138	1	0	0.0	8	0.0207	0.02275	-0.44615	-0.33115	-0.55556	-0.38463	0	Atkins
JN662424	13884	0	150	1	0	0.0	9	0.00837	0.01805	-0.676	-0.3896	-0.53396	-0.34887	0	Atkins
JN662424	14452	0	39	-1	0	0.0	4	0.00734	0.01482	-0.44167	-0.30875	-0.4587	-0.30609	0	Atkins
JN662424	14997	0	3	1	0	0.0	9	0.00044	0.01703	-0.14815	-0.12444	-0.58367	-0.38327	0	Atkins
JN662424	14988	0	12	1	10	1.2	9	0.01321	0.01893	-0.18846	-0.15154	-0.58085	-0.3983	0	Atkins
JN671444	5198	1	3	-1	0	0.0	0	0.00049	0.01449	-0.57619	-0.39619	-0.4878	-0.3949	-1	Atkins
KC505248	3915	1	234	-1	0	0.0	4	0.0054	0.0187	-0.4069	-0.27069	-0.46852	-0.29981	0	Atkins
KC505248	3330	1	819	-1	0	1.0	7	0.02431	0.0187	-0.74333	-0.52533	-0.65091	-0.404	0	Atkins
KJ605397	1249	1	9	1	2	0.0	9	0.00987	0.05321	-0.4625	-0.26906	-0.55161	-0.33694	0	Atkins
KJ605397	1246	1	12	1	6	0.0	9	0.01536	0.02249	-0.43939	-0.25879	-0.53175	-0.3351	0	Atkins
KJ605397	1249	0	9	1	2	0.0	9	0.00987	0.05321	-0.4625	-0.26906	-0.55161	-0.33694	0	Atkins
KJ605397	1246	0	12	1	6	0.0	9	0.01536	0.02249	-0.43939	-0.25879	-0.53175	-0.3351	0	Atkins
KM657432	5969	1	3	-1	13	0.0	1	0.0004	0.01158	-0.49259	-0.31111	-0.5087	-0.30802	0	Atkins
KM677927	3443	1	102	1	0	0.0	9	0.00981	0.02376	-0.29655	-0.17138	-0.46034	-0.29655	0	Atkins
KM677927	3437	1	108	1	0	0.0	9	0.01824	0.03097	-0.20741	-0.12815	-0.4125	-0.26071	0	Atkins
KM677927	3395	1	150	1	0	0.0	8	0.00828	0.02392	-0.25714	-0.22929	-0.35273	-0.24909	0	Atkins
